title,content,source,originallink,official_label,label_reason
"메타, 슈퍼인텔리전스 첫 성과 '뮤즈' 시리즈...폐쇄형 모델로 구글·오...",9일 IT업계에 따르면 메타는 지난해 약 2조원을 투자해 설립한 AI 연구 부서 슈퍼인텔리전스 랩스의 첫... 것으로 보인다. 이는 라마 시리즈를 통해 오픈소스 AI를 주도했던 메타가 수익성과 제어권 확보를 우선시한...,www.ajunews.com,https://www.ajunews.com/view/20260409085216303,0,비공식 쿼리 기반: www.ajunews.com
상급단체별 나누고 업무별 갈라…대기업 ‘3중 교섭’ 기본되나,한국노동연구원에 따르면 한국노총 금속노련과 민주노총 금속노조의 2006년부터 2024년까지 19년간 평균 교섭... 노동계 관계자는 “당분간 노동위 판단을 서두르기보다 다른 사례를 더 지켜본 뒤 원청 사용자성 판단을...,www.sedaily.com,https://www.sedaily.com/article/20030095?ref=naver,0,비공식 쿼리 기반: www.sedaily.com
2만원대로 5G 데이터 무제한 쓴다…통신요금 체계 손질,과학기술정보통신부는 지난 8일 정부세종청사에서 민생물가 특별관리 관계장관 태스크포스(TF) 브리핑을 열고 통신 3사 요금제 개편 방향을 발표했다. 정부는 체감 통신비 절감을 주요 국정과제로 추진하며...,www.fnnews.com,http://www.fnnews.com/news/202604081756516977,1,공식 쿼리 기반: www.fnnews.com
농협중앙회장 조합원 직선제···'중앙회 권한 축소' 개혁 불가피,"8일 농협 및 관련 업계에 따르면, 농협중앙회장 조합원 직선제 도입과 관련 농협을 개혁해야 한다는... NH농협금융지주의 한 계열사 관계자는 ""중앙회가 사업에 간섭하는 일은 없으면 한다""고 말했다. 농협 조직의 한...",www.enewstoday.co.kr,http://www.enewstoday.co.kr/news/articleView.html?idxno=2416383,0,비공식 쿼리 기반: www.enewstoday.co.kr
"홍기용 ""부자 탈 한국, 국세청이 '진짜' 통계 제공해야"" [상증세 정상화...","연구' 보도자료를 두고 '가짜 뉴스'라고 직격한 바 있다. 해당 보도자료는 영국 이민 컨설팅 회사... 홍 교수는 ""법무부에 따르면 국적 이탈자가 2023년에 2만6494명인데, 이 중에 10억 이상 재산을 소유한 사람들이...",www.joseilbo.com,http://www.joseilbo.com/news/news_read.php?uid=566141&class=7&grp=,1,공식 쿼리 기반: www.joseilbo.com
"박슬기, 셋째 계획 욕심에 '광대승천'…무속인 ""내년에 식구 늘어난다""...","예전에 (내가 연예인이 아닐 때) 이무송-노사연 선배 두 분이 열애설 나기도 전에 '결혼할 거 같다' 그랬는데 갑자기 결혼하시더라. 내가 맞혔다""며 남다른 촉을 알려 놀라움을 자아낸다. '딸둘맘'인 박슬기는 ""아기가 너무...",www.mydaily.co.kr,https://www.mydaily.co.kr/page/view/2026033109593336243,0,비공식 쿼리 기반: www.mydaily.co.kr
"""제2의 원윤종, K-스포츠외교 소수정예 인재 정부가 키운다!"" 글로벌 스...",문화체육관광부와 국민체육진흥공단이 대한민국 스포츠 외교를 이끌 국제 스포츠 고위급 인재 양성을 위한... 수준별 영어 집중 연수와 제2외국어(프랑스어) 과정을 운영하고 모의 국제회의·정책 발표·보고서 작성 등...,www.sportschosun.com,https://www.sportschosun.com/sports-news/2026-04-07/202604070100047840003063,1,공식 쿼리 기반: www.sportschosun.com
"건보공단, 네이버와 협력…진료비 정보 등 제공","'데이터 신뢰도' 확보 vs '단순 평균' 해석상 한계 의료계 안팎에서는 이번 서비스가 인터넷상에 떠도는 부정확한 의료정보, 이른바 '카더라 통신'을 걸러내는 데 기여할 것으로 보고 있다. 정기석 이사장 역시 ""공신력 있는...",www.dailymedi.com,https://www.dailymedi.com/news/news_view.php?wr_id=931291,0,비공식 쿼리 기반: www.dailymedi.com
"'임상 실패가 대수냐'…큰손 국민연금, '이 종목' 줍줍 이유는","한올바이오파마 주가 추이 8일 금융감독원 전자공시시스템에 따르면 국민연금은 지난 2일... 이어 이 대표는 “하반기 IMVT-1402 관련 류마티스관절염(RA), 피부홍반루푸스(CLE) 등 임상 데이터 발표가 예정돼 있어 이에...",www.edaily.co.kr,http://www.edaily.co.kr/news/newspath.asp?newsid=04634646645414152,1,공식 쿼리 기반: www.edaily.co.kr
"천태종, 제11회 천태예술공모대전 개최","심사 결과는 홈페이지 공지와 개별 문자 통보를 통해 발표된다. 시상은 대상(문화체육관광부 장관상) 1명에게 상금 2000만 원, 최우수상(국가유산청장상) 700만 원, 우수상 4명에게 각 200만 원, 장려상 4명에게 각 50만 원이...",www.beopbo.com,https://www.beopbo.com/news/articleView.html?idxno=334816,1,공식 쿼리 기반: www.beopbo.com
